Acronym,Meaning
STFU," Southern Tenant Farmers Union,Stuff You[citation needed],STH — Sonic The Hedgehog"
STI," Sexually Transmitted Infection,Subaru Tecnica International,STK —  Satellite Tool Kit,STM —  Short Term Memory,STOL —  Short Take"
STP," São Tomé and Príncipe (ISO 3166 trigram), Standard Temperature and Pressure,STR —  Short Tandem Repeat (DNA analysis),STRATCOM —  United States Strategic Command"
STRICOM," U.S. Army Simulation, Training & Instrumentation Command (1992"
SU," Soviet Union (ISO 3166 digram; obsolete 1992),Sudan (FIPS 10"
SUI," Sonic user interface, Switzerland (IOC and FIFA trigram, but not ISO 3166),SUK — Start Up Kit,sun —  Sundanese language (ISO 639"
SV," El Salvador (ISO 3166 digram), Sportverein (German for “Sport Association”, as in Hamburger SV and SV Werder Bremen),SVC —  Secondary Visual Cortex,SvD —  Svenska Dagbladet (Swedish newspaper)"
SVD," Singular Value Decomposition,Snaiperskaya Vintovka Dragunova (??????????? ???????? ?????????, Russian for “Dragunov Sniper Rifle”),SVG —  Scalable Vector Graphics,SVK —  Slovakia (ISO 3166 trigram),SVM —  Support Vector Machine (artificial intelligence),SVN —  Slovenia (ISO 3166 and FIFA trigram),SVO —  subject"
SW, South
SWA,"(i/a) Secure Web Access,South"
SWF," Shockwave Flash file (“swiff”),Single White Female"
SWG," Surface Warfare Group,Symbology Working Group,SWHR —  Society for Women's Health Research,SWIG —  Simplified Wrapper and Interface Generator,SWIR — (a/i) Short Wave InfraRed (“ss"
SWLABR," She Was Like A Bearded Rainbow,Cream song (Bruce, Clapton and Baker),SWORD —  Subjective WORkload Dominance,SWORDS —  Special Weapons Observation Reconnaissance Detection System,SWOT —  Strengths, Weaknesses, Opportunities, Threats (mnemonic)"
SWP," Special Working Party (“swipp”),Systematic Westing Plan (a plan of periodic westing of shares or mutual funds worth a fixed amount of money),Skill With Prizes (UK pub quiz machines — quality titles include: Pub Quiz, Quiz City, Frog in a Liquidizer, Who Wants To Win a Tenner?),SWT —  Sea Water Tank,SWV —  Sisters With Voices (American female R&B vocal group),SWZ —  Swaziland (ISO 3166 trigram),SX[edit],SX —  Sonic X"
SXM, Scanning X
SZ," Swaziland (ISO 3166 digram),Switzerland (FIPS 10"
T ,  Tera 
ta ,  Tamil language (ISO 639
Ta ,  Tantalum
TA ,  Target Acquisition 
TAA ,  Transparency Anti
TAACOM ,  U.S. Theater Army Area Command
TAADCOORD ,  Theatre Army Air Defence Co
TAAR ,  Trace Amine
TAC ,  U.S. Tactical Air Command (1946
TACAMO ,  Take Charge and Move Out (U.S. military)
TACAN ,  Tactical Air Navigation
TACC ,  Tactical Air Control Centre 
TACCO ,  Tactical Coordinator
TACCSF ,  U.S. Theater Aerospace Command & Control Simulation Facility
TACDAR ,  Tactical Detection And Reporting
TACP ,  Tactical Air Control Party 
TACSOP ,  Tactical SOP (Standing Operating Procedure)
TADIL ,  Tactical Digital Information Link
TADL ,"  Tactical Air Data Link (""taddle"")"
TADSS ,"  Training Aids, Devices, Simulators, and Simulations"
tah ,  Tahitian language (ISO 639
TAI ,  Target[ed] Area of Interest
TAJ ,  Tom and Jerry
TAJT ,  Tom and Jerry Tales
TALES ,  Technical Advice and Lexicon for Enabling Simulation
tam ,  Tamil language (ISO 639
TAN ,"  Tanzania (IOC and FIFA trigram, but not ISO 3166)"
TANJ ,  There Ain't No Justice (used as expletive in the Ringworld novels)
TANP ,  Terrain
TANSTAAFL ,  There Ain't No Such Thing As A Free Lunch (coined by author Robert A. Heinlein in his The Moon Is a Harsh Mistress)
TAPPS ,  Texas Association of Private and Parochial Schools
TARDIS ,  Time And Relative Dimension In Space (from Doctor Who)
TARP ,"  Transparency Accountability Rights for Parents (coined by Karen Plumridge, founder of Black Ribbon Gold Heart)"
TAROT ,"  Télescope à action rapide pour les objets transitoires (French, ""Transient Object Rapid Action Telescope"")"
TAS , Tasmania (postal symbol)
TASER ,  Thomas A. Swift's Electric Rifle
TASM ,  Tactical Air
tat ,  Tatar language (ISO 639
TAT ,  Tourism Authority of Thailand
TATP ,  TriAcetone TriPeroxide
TATT ,  Tired All The Time (medical diagnosis in
Tb ,  Terbium
TB ,  Tuberculosis
TBA ,  to be announced
TBBPA ,  TetraBromoBisPhenol
TBC ,"  to be confirmed, to be continued"
TBD ,"  ""to be documented"", ""to be determined"", or ""to be decided"""
TBD ,  Torpedo Boat Destroyer
TBF , to be fair
TBGRI ,"  Tropical Botanic Garden and Research Institute, India"
TBH ,  To Be Honest
TBL ,  Turkish Basketball League
TBM ,  Tactical Ballistic Missile 
TBS ,  Turner Broadcasting System
TBT ,  Tributyltin
Tc ,  Technetium
TC ,  Teracoulomb 
TCA ,  Transformational Communications Architecture 
TCAS ,  Traffic Collision Avoidance System
TCAA ,  Top Counter
TCCCS ," (i/a) Tactical Command, Control and Communication System (""ticks"")"
TCD ,  Chad (ISO 3166 trigram)
TCG ,  Trusted Computing Group 
TCHD ,  Truck Cargo Heavy Duty
TCL ,  Tool Command Language
TCM ,  Turner Classic Movies
TCP ,  Traffic Control Point 
TCU ,  Texas Christian University
TCWMS ,  Tele
TCW ,  Tasty Coma Wife
TD," Territorial Decoration,Toon Disney,Toronto"
TDA , The Disney Afternoon
TDL ,  Tactical Data Link
TDM ,  Time
TDMA ,  Time Division Multiple Access
TDP ,  Technology Demonstration Programme
TDRS ,  Tracking Data and Relay Satellite
te ,  Telugu language (ISO 639
Te ,  Tellurium
TE ,  Tactical Exploitation 
TEAL ,  Tasman Empire Airways Limited
Team ,  Together everyone achieves more
TEAMS ,  The East African Marine System (fiber optic cable)
TED ,  Technology Entertainment Design prize
TEETH ,"  Tried Everything Else, Try Homeopathy (medical diagnosis in"
tel ,  Telugu language (ISO 639
TEL ," (a/i) Transporter, Erector and Launcher"
TELAR ,"  Transporter, Erector, Launcher And Radar"
TEMO ,"  Training, Exercise, and Military Operations"
TENCAP ,  Tactical Exploitation of National Capabilities
TERS ,  Tactical Event Reporting System
TES ,  Tactical Event System
TEST ,  Thesaurus of Engineering and Scientific Terms
TEU ,  Twenty
TeVeS ,  Tensor Vector Scalar theory
TF ,
TFMPP ,  Trifluorophenylmethylpiperazine
TFR ,  Total Fertility Rate
TFT ,  Thin
tg ,  Tajik language (ISO 639
Tg ,  Teragram
TG ,  Togo (ISO 3166 digram)
TGA ,"  Tonga (IOC and FIFA trigram, but not ISO 3166)"
TGB ,"  Tres grande bibliothèque (French, ""Very Large Library""), a sarcastic nickname for the Bibliothèque nationale de France"
TGIF ,"  Thank God It's Friday, Toes Go In First"
tgk ,  Tajik language (ISO 639
tgl ,  Tagalog language (ISO 639
TGO ,  Togo (ISO 3166 trigram)
TGT," Target (also the ticker symbol for Target Corporation), Ticket Granting Ticket (computer security), Tyrese, Ginuwine, Tank "
TGV," Tanjong Golden Village (Malaysian cinema chain), Tanora malaGasy Vonona (Malagasy, ""Young Malagasies Determined"" "
th ,  Thai language (ISO 639
Th ,  Thorium
TH ,  Terahenry 
tha ,  Thai language (ISO 639
THA ,  Thailand (ISO 3166 trigram)
THAAD , (a/i) Terminal High Altitude Area Defence
THB ,  Thai baht (ISO 4217 currency code)
THEGENTRY ,  The High
THEL ,  Tactical High Energy Laser ACTD
THG ,  Tetrahydrogestrinone
ti ,  Tigrinya language (ISO 639
Ti ,  Tebi 
TI ,  Tajikistan (FIPS 10
TIA ,  Total Information Awareness initiative
TIA ,  Transient Ischemic Attack
TIALD ,  Thermal Imaging and Airborne Laser Designation
TIBS ,  Tactical Information Broadcast System
TIC ,  Troops In Contact
TID ,  Target Identification 
TIGERS ,  Topologically Integrated Geographic Encoding and Referencing System
TIM ,  Technical Information Memorandum 
TIMS ,  Tactical Internet Management System 
TINC ,  There Is No Cabal
TINY ," That Is, Not You (internet slang)"
TIP ,  Thermal Identification Panel
tir ,  Tigrinya language (ISO 639
tits , Toes in the Sand
TJ ,  Tajikistan (ISO 3166 digram) 
TJD ,  Truncated Julian Day
TJK ,  Tajikistan (ISO 3166 trigram)
TJS ,  Tajik somoni (ISO 4217 currency code)
tk ,  Turkmen language (ISO 639
TK ,  Terakelvin 
TKBL ,"  Türkiye 1. Kad?nlar Basketbol Ligi, the Turkish"
TKL ,  Tokelau (ISO 3166 trigram)
TKM ,  Turkmenistan (ISO 3166 trigram)
tl ,  Tagalog language (ISO 639
Tl ,  Thallium
TLPM , T1 Line Performance Monitor
TL," Team Leader, Teralitre,Timor"
TLATOJL , The Life and Times of Juniper Lee
TLA ,  Three
TLAM ,  Tomahawk Land Attack Missile
TLAR," That Looks About Right (chat shorthand),Transporter"
TLC," Tender Loving Care,The Learning Channel (now known strictly by the initials),Thin Layer Chromatography,T"
TLD," Thermoluminescent Dosimeter,Top"
TLM," Traditional Latin Mass,Tridentine Latin Mass,Transaction Lifecycle Management"
TLS, Timor
Tm, Terametre
Thulium,
TM," Technical Manual,Theatre Missile,Thematic Mapper, trademark (often written in small superscript type: TM or ™), Turing machine, Turkmenistan (ISO 3166 digram) Tympanic Membrane"
TMA," Terminal Manoeuvring Area (restricted flying zone),Texas Medical Association,Tristeza y muerte de agave (Spanish, ""wilting and death of agave"") "
TMAP , (a/i) Texas Medication Algorithm Project
TMC ,  The Movie Channel
TMD ,  Theatre Missile Defence
TMDK ,  The Mighty Don't Kneel (Australian professional wrestling stable also active in Japan)
TMI ,  Too Much Information
TMJ ,  TemporoMandibular Joint (syndrome)
TMM ,  Turkmen manat (ISO 4217 currency code)
TMNT ,  Teenage Mutant Ninja Turtles
TMO," Table Mountain Observatory,Television match official (rugby union)"
TMP," East Timor (ISO 3166 trigram; obsolete 2002), Temporary"
TMPG ,  Transparent Multi
TMR ,  Twin Main Rotors (helicopter type)
TMS ,  Transcranial Magnetic Stimulation
TMT ,  Thirty Meter Telescope
TMTOWTDI ,  There's  Than One Way To Do It (from Perl)
TMZ ,  Thirty
tn ,  Tswana language (ISO 639
TN," Tennessee (postal symbol),Teranewton,Tonga (FIPS 10"
TNA ,  Total Nonstop Action Wrestling
TND ,  Tunisian dinar (ISO 4217 currency code)
TNO ,  Trans
TNT," Thomas Nationwide Transport, an Australian company that was one of the predecessors to the former TNT N.V. and the current TNT Express, TriNitroToluene,(a/i) Turner Network Television,TO[edit]"
to ,  Tongan language (ISO 639
TO, Togo (FIPS 10
TOA," Table Of Authorities,Total Obligation Authority (accounting)"
TOAD," Temporary, Obsolete, Abandoned, or Derelict site (urbanism),Towed Optical Assessment Device"
TOBS ,  Time of OBServation
TOC,"(a/i) Table Of Contents,Tactical Operations Centre, Temporo"
TOG ,"  Togo (IOC and FIFA trigram, but not ISO 3166)"
TOGS ,  Thermal Observation Gunnery Sight
TOMS ,  Total Ozone Mapping Spectrometer (satellite instrument)
ton ,  Tongan language (ISO 639
TON ,  Tonga (ISO 3166 trigram)
TOP ,  Tongan pa'anga (ISO 4217 currency code)
TOS," Tape Operating System,Terms of service,The Original Series, used to distinguish the first Star Trek TV series from other parts of the media franchise,Tramiel Operating System"
TOT ,  Time On Target
TOW ,  Tube
TP," East Timor (ISO 3166 digram; obsolete 2002),São Tomé and Príncipe (FIPS 10"
TPE ,  Chinese Taipei (IOC and FIFA trigram for the country also known as Taiwan)
TPI ,  The point is
TPO ,  Thrombopoietin
TPS ,  The Pennington School
TPTB ,  The Powers That Be (often used to refer to the people responsible for the content of TV series or movies)
TQ ,  Top Qualifier (similar to Pole Position in car racing)
tr ,  Turkish language (ISO 639
TR ,  Turkey (ISO 3166 digram)
TRA ,  Technology iness Assessment
TRAC ,  (U.S. Army) TRADOC Analysis Center
TRACON ,  Terminal Radar Approach Control
TRADOC ,  (U.S. Army) Training and Doctrine Command
TRAIN ,"  Tourist Railway Association, Inc."
TRANSCOM ,  U.S. Transportation Command
TRAP ,  Tactical Receive equipment and related Applications
TRASANA ,  TRADOC Systems Analysis Agency
TRD ,  Towed Radar Decoy
TRIGAT ,  Third Generation Antitank (missile)
TRL ,  Technology readiness level
Trp ,  Troop
TRP ,  Target Reference Point 
TRU ,  Transuranic
TRUEX ,  Training in Urban Environment Exercise
TRW ,  Thompson Ramo Wooldridge Inc.
TRY ,  Turkish lira (ISO 4217 currency code)
ts ,  Tsonga language (ISO 639
Ts ,  Terasecond
TS," Terasiemens,Thunderstorm (METAR code),Tunisia (FIPS 10"
TSA," Theatre Storage Area,Time Slot Allocation,Transportation Security Administration,The Salvation Army"
TSCA ,"  Toxic Substances Control Act (""tosca"")"
TSEC ,  Transmission Security Encryption Code
TSL ,  Transportation Security Laboratory
tsn ,  Tswana language (ISO 639
TSN," The Sporting News (historic name of the periodical now known as Sporting News),The Sports Network"
tso ,  Tsonga language (ISO 639
TSO," The Stationery Office (was HMSO until 1996),(U.S.) TRICARE Support Office, Trans"
TSOP," Tactical Standing Operation Procedure,The Sound of Philadelphia (classic 1970s R&B instrumental)"
TSR ," many, including Terminate and Stay Resident; see entry"
TSSIA ,  The Subject Says It All
tt ,  Tatar language (ISO 639
TT," Teratesla, Terrestrial Time,Tourist Trophy (Motorcycle sport), Trinidad and Tobago (ISO 3166 digram)"
TTCT , Torrance Tests of Creative Thinking
TTD ,  Trinidad and Tobago dollar (ISO 4217 currency code)
TTO ,  Trinidad and Tobago (ISO 3166 trigram)
TTFN ,  Ta Ta For Now
TTL," Tax, Title, License, Through"
TTP," Tactics, Techniques, and Procedures,Thrombotic thrombocytopenic purpura,Trailer Transfer Point"
TTTEAF , Thomas the Tank Engine and Friends
TTY ,  TeleTYpewriter (Printer)
TTYL ,   To You Later (Internet slang)
TTZ ,  Tetrazolium
TU ,"  Technische Universität (German for ""Technical University"") "
TUC ,  Trades Union Congress
TUG ,  TeX Users Group
TUI , (a/i) Text
tuk ,  Turkmen language (ISO 639
TUN ,  Tunisia (ISO 3166 trigram)
TUNS ,  Technical University of Nova Scotia
Tur ,  Turkish language (ISO 639
TUR ,  Turkey (ISO 3166 trigram)
TUSK ,  Tank Urban Survival Kit
TUV ,  Tuvalu (ISO 3166 trigram)
Tv ,"  Time value, a designation seen on some camera dials for shutter priority mode"
TV," Television, Teravolt, Transvestite, Tuvalu (ISO 3166 and FIPS 10"
TVA ,  Tennessee Valley Authority
TVG,"(p/i) Television Games (Network), Tick, Very Good, Often used by School Teachers when marking homework etc. (Tick VG)[1][2]"
TVR ,  TreVor (Wilkinson) Racing
TVS ,  Tornado vortex signature
tw ,  Twi language (ISO 639
TW ,  Republic of China (Taiwan) (ISO 3166 and FIPS 10
TWAIN ,  Technology Without An Interesting Name
TWD ,  Taiwan dollar (ISO 4217 currency code)
TWE ,  Trans World Entertainment
twi ,  Twi language (ISO 639
TWI ,  The Welding Institute
TWN ,  Republic of China (Taiwan) (ISO 3166 trigram)
TWP ,  Technical Working Paper
TWS ,  Thermal Weapon Sight 
TWIP ,  Take What Insurance Pays 
TX ,  Texas (postal symbol) 
TXV , Thermostatic Expansion Valve
ty ,  Tahitian language (ISO 639
TYT , Take Your Time 
TZ ,  Tanzania (ISO 3166 and FIPS 10
TZA ,  Tanzania (ISO 3166 trigram)
TZC ,  Tetrazolium chloride
TZS ,  Tanzanian shilling (ISO 4217 currency code)
U ,  Uranium
UA ,  Ukraine (ISO 3166 digram)  Unit of Action
UAAP ,  University Athletic Association of the Philippines
UAB ,  University of Alabama at Birmingham
UAE ," (i/s) United Arab Emirates (also IOC and FIFA trigram, but not ISO 3166)"
UAH," Ukrainian hryvnia (ISO 4217 currency code), University of Alabama in Huntsville"
UAR," Uniformly At Random (probability),Unión Argentina de Rugby (Spanish for ""Argentine Rugby Union""),United Arab Republic"
UAV," Unmanned Aerial Vehicle,Unprotected Anal and Vaginal sex,UB[edit]"
UBC ,  United Baptist Church 
UBIGEO ,  Ubicación Geografica (Spanish for Geographical Location)
UBS ,  Unbundled Bitstream Services 
UCBSA ,  United Cricket Board of South Africa
UCAV , (a/i) Unmanned Combat Air Vehicle
UCF ,  University of Central Florida
UCI ,"  Union Cycliste Internationale (French, ""International Cycling Union"") "
